# alliance-name list-of-airlines
Star Alliance	9I A3 AC AI AV BR CA CM ET LH LO LR LX MS NH NZ OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP UA WC ZH
oneworld	4M AA AS AT AY BA CJ CX EC EZ GH IB JC JL LP MH MN N7 NU QF QR RJ S7 UL XM
SkyTeam 	A5 AE AF AM AR CI CT DL FM GA KE KL KQ ME MF MU OK RO SU SV UX VN WA WX
Alaska	AA AS AY BA CX DE EI EK FI FJ HU JL KE KS QF SQ
Air France-KLM 	A5 AE AF AM AR CE CI CM CT CZ DL DT FM G3 GA HV JN KE KL KQ ME MF MH MK MU OK PG PS QF RO SB SU SV T7 TO UX VN WA WS WX XK
Air Newzealand	9I A3 AC AI AT AV BR CA CM CX ET EY FJ LH LO LR LX MS NH NZ OA OS OU OZ P5 QF SA SB SG SK SN SQ TA TG TK TP UA VS WC ZH
American	4M 4O 9K AA AS AT AY BA BB CJ CX CZ EC EY EZ FJ GF GH HA IB JC JJ JL LA LP MH MN N7 NU QF QR RJ S7 TN UL WS XL XM
ANA	9I A3 AC AI AV BR CA CM EN ET EW HO LH LO LR LX MS NH NX NZ OA OS OU OZ P5 PR SA SG SK SN SQ TA TG TK TP UA VS WC ZH
Asiana	9I A3 AC AI AV BR CA CM EY ET LH LO LR LX MS NH NZ OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP UA WC ZH
British Airways	4M AA AS AT AY BA CJ CX EC EI EZ GH IB JC JJ JL LA LP MH MN N7 NU QF QR RJ S7 UL XL XM
Cathay Pacific	4M AA AS AT AY BA CA CJ CX EC EI EZ GF GH IB JC JJ JL LA LH LP LX MH MN N7 NU NZ OS PH QF QR RJ S7 UL XL XM ZH
China Southern	3U AA AF AM AR CZ DL FM KE GA KL KQ MU OK RO SU SV VN
Delta 	A5 AE AF AM AR CI CT CZ DL FM G3 GA HA KE KL KQ ME MF MU OK RO SU SV UX VA VN VS WA WS WX
Etihad	AA AT EY G3 GA GF HU HM JU KE MH NH NZ OK OZ PG PR SK SN UL VA WY
Emirates	AS B6 CI EK FZ G3 JL JQ KE ME MF MH MK QF S7 SA SV TP
Hawaiian	B6 CI HA JL KE VA VS
Korean 	A5 AA AE AF AM AR AS CI CT CZ DL EK EY FM G3 GA HA JL KE KL KQ ME MF MU OK RO SU SV UX VN WA WX
Lufthansa	9I A3 AC AI AV BR CA CX CM DE EW EN ET KC KM LG LH LO LR LX MS NH NZ OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP UA WC ZH
QANTAS	4M 4N AA AF AS AY BA CJ CX EC EK EZ GH IB JC JJ JL JQ KL LA LP LY MH MN MU N7 NF NU PX QF QR RJ S7 UL WS XL XM
Qatar	4M AA AT AY BA CJ CX EC EZ G3 GH IB JC JJ JL LA LP ME MH MN N7 NU PG QF QR RJ S7 UL WB WY XL XM
SAS	9I A3 AC AI AV BR CA CM ET EY LH LO LR LX MS NH NZ OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP UA WC WF ZH
Singaproe Airlines	9I A3 AC AI AS AV B6 BR CA CM ET HO LH LO LR LX MS NH NZ OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP TR UA UK VA VS WC ZH
United	3M 4B 9I 9K A3 AC AD AI AV BR CA CM EI EN ET EW HA HO LH LO LR LX MS NH NZ OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP UA WC WK ZH
Virgin Atlantic	CA DL HA SQ NH NZ SA SK VA VS
