airline,A,B,country_A,lon_A,lat_A,country_B,lon_B,lat_B,color,AB
DL,DTW,CID,US,-83.35340118408203,42.212398529052734,US,-91.71080017089844,41.884700775146484,#ff0000,DTW_CID
AA,DFW,PIA,US,-97.038002,32.896801,US,-89.6932983398,40.664199829100006,#6cff7d,DFW_PIA
AA,CLT,MCI,US,-80.94309997558594,35.2140007019043,US,-94.713898,39.2976,#6cff7d,CLT_MCI
UA,IAH,MIA,US,-95.34140014648438,29.984399795532227,US,-80.29060363769531,25.79319953918457,#426ae1,IAH_MIA
DL,ATL,ECP,US,-84.428101,33.6367,US,-85.795414,30.357106,#ff0000,ATL_ECP
AA,BOS,LGA,US,-71.00520325,42.36429977,US,-73.872597,40.777199,#6cff7d,BOS_LGA
DL,ATL,GTR,US,-84.428101,33.6367,US,-88.5914001465,33.450298309299995,#ff0000,ATL_GTR
UA,IAD,CMH,US,-77.45580292,38.94449997,US,-82.891899,39.998001,#426ae1,IAD_CMH
DL,ATL,SJC,US,-84.428101,33.6367,US,-121.929001,37.362598,#ff0000,ATL_SJC
UA,DEN,RKS,US,-104.672996521,39.861698150635,US,-109.065001,41.5942,#426ae1,DEN_RKS
AA,PHL,MSY,US,-75.24109649658203,39.87189865112305,US,-90.25800323486328,29.99340057373047,#6cff7d,PHL_MSY
DL,CLE,SLC,US,-81.8498001099,41.4117012024,US,-111.97799682617188,40.78839874267578,#ff0000,CLE_SLC
DL,JFK,LAX,US,-73.7789,40.639801,US,-118.407997,33.942501,#ff0000,JFK_LAX
DL,DTW,DCA,US,-83.35340118408203,42.212398529052734,US,-77.037697,38.8521,#ff0000,DTW_DCA
AA,CLT,MDT,US,-80.94309997558594,35.2140007019043,US,-76.7633972168,40.1935005188,#6cff7d,CLT_MDT
AA,CLT,ITH,US,-80.94309997558594,35.2140007019043,US,-76.4583969116211,42.49100112915039,#6cff7d,CLT_ITH
DL,DTW,SJC,US,-83.35340118408203,42.212398529052734,US,-121.929001,37.362598,#ff0000,DTW_SJC
UA,DEN,PIR,US,-104.672996521,39.861698150635,US,-100.2860031,44.38270187,#426ae1,DEN_PIR
UA,IAH,CLL,US,-95.34140014648438,29.984399795532227,US,-96.36380005,30.58860016,#426ae1,IAH_CLL
UA,ORD,CKB,US,-87.9048,41.9786,US,-80.2281036377,39.2966003418,#426ae1,ORD_CKB
AA,DCA,RSW,US,-77.037697,38.8521,US,-81.75520324707031,26.53619956970215,#6cff7d,DCA_RSW
DL,BOS,SEA,US,-71.00520325,42.36429977,US,-122.308998,47.449001,#ff0000,BOS_SEA
UA,SFO,MCO,US,-122.375,37.61899948120117,US,-81.30899810791016,28.429399490356445,#426ae1,SFO_MCO
DL,BOS,BUF,US,-71.00520325,42.36429977,US,-78.73220062,42.94049835,#ff0000,BOS_BUF
AA,LGA,MSP,US,-73.872597,40.777199,US,-93.221802,44.882,#6cff7d,LGA_MSP
DL,ATL,BWI,US,-84.428101,33.6367,US,-76.668297,39.1754,#ff0000,ATL_BWI
UA,EWR,MSY,US,-74.168701171875,40.692501068115234,US,-90.25800323486328,29.99340057373047,#426ae1,EWR_MSY
DL,ATL,MCO,US,-84.428101,33.6367,US,-81.30899810791016,28.429399490356445,#ff0000,ATL_MCO
AA,DFW,DRO,US,-97.038002,32.896801,US,-107.753997803,37.1515007019,#6cff7d,DFW_DRO
UA,SFO,LAS,US,-122.375,37.61899948120117,US,-115.1520004,36.08010101,#426ae1,SFO_LAS
AA,PHL,AVP,US,-75.24109649658203,39.87189865112305,US,-75.72339630130001,41.338500976599995,#6cff7d,PHL_AVP
AA,DFW,BFL,US,-97.038002,32.896801,US,-119.0569992,35.43360138,#6cff7d,DFW_BFL
DL,DTW,IAD,US,-83.35340118408203,42.212398529052734,US,-77.45580292,38.94449997,#ff0000,DTW_IAD
DL,ATL,BMI,US,-84.428101,33.6367,US,-88.91590118,40.47710037,#ff0000,ATL_BMI
DL,MSP,GFK,US,-93.221802,44.882,US,-97.176102,47.949299,#ff0000,MSP_GFK
DL,JFK,BNA,US,-73.7789,40.639801,US,-86.6781997680664,36.1245002746582,#ff0000,JFK_BNA
AA,ORD,GRR,US,-87.9048,41.9786,US,-85.52279663,42.88079834,#6cff7d,ORD_GRR
DL,BOS,SFO,US,-71.00520325,42.36429977,US,-122.375,37.61899948120117,#ff0000,BOS_SFO
AA,PHX,OMA,US,-112.01200103759766,33.43429946899414,US,-95.894096,41.3032,#6cff7d,PHX_OMA
UA,LAX,SBP,US,-118.407997,33.942501,US,-120.641998291,35.236801147499996,#426ae1,LAX_SBP
UA,EWR,TPA,US,-74.168701171875,40.692501068115234,US,-82.533203125,27.975500106811523,#426ae1,EWR_TPA
UA,DEN,CPR,US,-104.672996521,39.861698150635,US,-106.463997,42.908001,#426ae1,DEN_CPR
DL,SLC,IDA,US,-111.97799682617188,40.78839874267578,US,-112.070999,43.514599,#ff0000,SLC_IDA
DL,LAX,SAT,US,-118.407997,33.942501,US,-98.469803,29.533701,#ff0000,LAX_SAT
DL,SEA,IND,US,-122.308998,47.449001,US,-86.294403,39.7173,#ff0000,SEA_IND
