airline,A,B,country_A,lon_A,lat_A,country_B,lon_B,lat_B,color,AB
AA,ORD,CVG,US,-87.9048,41.9786,US,-84.667801,39.048801,#ffff00,ORD_CVG
AA,CLT,DAY,US,-80.94309997558594,35.2140007019043,US,-84.21939849853516,39.902400970458984,#ff0000,CLT_DAY
AA,MIA,PHX,US,-80.29060363769531,25.79319953918457,US,-112.01200103759766,33.43429946899414,white,MIA_PHX
AA,PHX,DSM,US,-112.01200103759766,33.43429946899414,US,-93.66310119628906,41.534000396728516,#426ae1,PHX_DSM
AA,PHX,BOI,US,-112.01200103759766,33.43429946899414,US,-116.223,43.5644,#426ae1,PHX_BOI
AA,ORD,RST,US,-87.9048,41.9786,US,-92.5,43.90829849243164,#ffff00,ORD_RST
AA,CLT,MIA,US,-80.94309997558594,35.2140007019043,US,-80.29060363769531,25.79319953918457,white,CLT_MIA
AA,PHL,ART,US,-75.24109649658203,39.87189865112305,US,-76.02169799804688,43.99190139770508,#fd68b3,PHL_ART
AA,DFW,IND,US,-97.038002,32.896801,US,-86.294403,39.7173,#ffa500,DFW_IND
AA,DEN,PHX,US,-104.672996521,39.861698150635,US,-112.01200103759766,33.43429946899414,#426ae1,DEN_PHX
AA,MIA,BNA,US,-80.29060363769531,25.79319953918457,US,-86.6781997680664,36.1245002746582,#6cff7d,MIA_BNA
AA,ORD,DTW,US,-87.9048,41.9786,US,-83.35340118408203,42.212398529052734,#ffff00,ORD_DTW
AA,CLT,SAV,US,-80.94309997558594,35.2140007019043,US,-81.20210266,32.12760162,#ff0000,CLT_SAV
AA,ORD,ALO,US,-87.9048,41.9786,US,-92.40029907226562,42.557098388671875,#ffff00,ORD_ALO
AA,DFW,SUX,US,-97.038002,32.896801,US,-96.384399,42.402599,#ffa500,DFW_SUX
AA,PHX,FSD,US,-112.01200103759766,33.43429946899414,US,-96.741897583,43.582000732400004,#426ae1,PHX_FSD
AA,DCA,PHX,US,-77.037697,38.8521,US,-112.01200103759766,33.43429946899414,white,DCA_PHX
AA,DCA,MCO,US,-77.037697,38.8521,US,-81.30899810791016,28.429399490356445,#6cff7d,DCA_MCO
AA,CLT,STL,US,-80.94309997558594,35.2140007019043,US,-90.370003,38.748697,#ff0000,CLT_STL
AA,JFK,ORD,US,-73.7789,40.639801,US,-87.9048,41.9786,#ffff00,JFK_ORD
AA,DFW,GSP,US,-97.038002,32.896801,US,-82.2189025879,34.8956985474,#ffa500,DFW_GSP
AA,PHL,IAH,US,-75.24109649658203,39.87189865112305,US,-95.34140014648438,29.984399795532227,#fd68b3,PHL_IAH
AA,PHL,BNA,US,-75.24109649658203,39.87189865112305,US,-86.6781997680664,36.1245002746582,#fd68b3,PHL_BNA
AA,ORD,FWA,US,-87.9048,41.9786,US,-85.19509888,40.97850037,#ffff00,ORD_FWA
AA,DFW,MSN,US,-97.038002,32.896801,US,-89.3375015258789,43.13990020751953,#ffa500,DFW_MSN
AA,CLT,TLH,US,-80.94309997558594,35.2140007019043,US,-84.35030364990234,30.396499633789062,#ff0000,CLT_TLH
AA,MIA,IAH,US,-80.29060363769531,25.79319953918457,US,-95.34140014648438,29.984399795532227,#6cff7d,MIA_IAH
AA,LAX,ABQ,US,-118.407997,33.942501,US,-106.609001,35.040199,#00ffff,LAX_ABQ
AA,MIA,SAT,US,-80.29060363769531,25.79319953918457,US,-98.469803,29.533701,#6cff7d,MIA_SAT
AA,ORD,TUL,US,-87.9048,41.9786,US,-95.88809967041016,36.19839859008789,#ffff00,ORD_TUL
AA,DFW,EYW,US,-97.038002,32.896801,US,-81.75959777832031,24.556100845336914,#ffa500,DFW_EYW
AA,DFW,OMA,US,-97.038002,32.896801,US,-95.894096,41.3032,#ffa500,DFW_OMA
AA,DFW,COS,US,-97.038002,32.896801,US,-104.700996,38.805801,#ffa500,DFW_COS
AA,ORD,IAH,US,-87.9048,41.9786,US,-95.34140014648438,29.984399795532227,#ffff00,ORD_IAH
AA,DFW,ROW,US,-97.038002,32.896801,US,-104.530998,33.301601,#ffa500,DFW_ROW
AA,DFW,HSV,US,-97.038002,32.896801,US,-86.775100708008,34.637199401855,#ffa500,DFW_HSV
AA,PHL,MSY,US,-75.24109649658203,39.87189865112305,US,-90.25800323486328,29.99340057373047,#fd68b3,PHL_MSY
AA,ORD,CMH,US,-87.9048,41.9786,US,-82.891899,39.998001,#ffff00,ORD_CMH
AA,DFW,RIC,US,-97.038002,32.896801,US,-77.3197021484375,37.50519943237305,#ffa500,DFW_RIC
AA,MIA,OMA,US,-80.29060363769531,25.79319953918457,US,-95.894096,41.3032,#6cff7d,MIA_OMA
AA,CLT,PNS,US,-80.94309997558594,35.2140007019043,US,-87.1866,30.4734,#ff0000,CLT_PNS
AA,DFW,MLU,US,-97.038002,32.896801,US,-92.0376968383789,32.51089859008789,#ffa500,DFW_MLU
AA,ORD,CAK,US,-87.9048,41.9786,US,-81.44219970703125,40.916099548339844,#ffff00,ORD_CAK
AA,DCA,CAE,US,-77.037697,38.8521,US,-81.11949920654297,33.93880081176758,#6cff7d,DCA_CAE
AA,DCA,JAX,US,-77.037697,38.8521,US,-81.68789672851562,30.49410057067871,#6cff7d,DCA_JAX
AA,ORD,SGF,US,-87.9048,41.9786,US,-93.38860321,37.24570084,#ffff00,ORD_SGF
AA,LGA,CLE,US,-73.872597,40.777199,US,-81.8498001099,41.4117012024,#426ae1,LGA_CLE
AA,CLT,ATL,US,-80.94309997558594,35.2140007019043,US,-84.428101,33.6367,#ff0000,CLT_ATL
AA,PHL,ITH,US,-75.24109649658203,39.87189865112305,US,-76.4583969116211,42.49100112915039,#fd68b3,PHL_ITH
AA,DCA,VPS,US,-77.037697,38.8521,US,-86.525398,30.4832,#6cff7d,DCA_VPS
AA,CLT,OMA,US,-80.94309997558594,35.2140007019043,US,-95.894096,41.3032,#ff0000,CLT_OMA
AA,ORD,TUS,US,-87.9048,41.9786,US,-110.938053,32.115004,#ffff00,ORD_TUS
AA,PHX,SGU,US,-112.01200103759766,33.43429946899414,US,-113.510306,37.036389,#426ae1,PHX_SGU
AA,ORD,TYS,US,-87.9048,41.9786,US,-83.9940033,35.81100082,#ffff00,ORD_TYS
AA,PHX,ASE,US,-112.01200103759766,33.43429946899414,US,-106.8690033,39.22320175,#426ae1,PHX_ASE
AA,PHL,CHS,US,-75.24109649658203,39.87189865112305,US,-80.04049683,32.89860153,#fd68b3,PHL_CHS
AA,DFW,ORF,US,-97.038002,32.896801,US,-76.20120239257812,36.89459991455078,#ffa500,DFW_ORF
AA,LAX,ATL,US,-118.407997,33.942501,US,-84.428101,33.6367,#00ffff,LAX_ATL
AA,LAX,PHX,US,-118.407997,33.942501,US,-112.01200103759766,33.43429946899414,white,LAX_PHX
AA,PHX,CMH,US,-112.01200103759766,33.43429946899414,US,-82.891899,39.998001,#426ae1,PHX_CMH
AA,DFW,AMA,US,-97.038002,32.896801,US,-101.706001,35.219398,#ffa500,DFW_AMA
AA,LGA,MSP,US,-73.872597,40.777199,US,-93.221802,44.882,#426ae1,LGA_MSP
AA,DFW,IAD,US,-97.038002,32.896801,US,-77.45580292,38.94449997,#ffa500,DFW_IAD
AA,PHX,EWR,US,-112.01200103759766,33.43429946899414,US,-74.168701171875,40.692501068115234,#426ae1,PHX_EWR
AA,DFW,TUL,US,-97.038002,32.896801,US,-95.88809967041016,36.19839859008789,#ffa500,DFW_TUL
AA,BOS,DFW,US,-71.00520325,42.36429977,US,-97.038002,32.896801,#ffa500,BOS_DFW
AA,DFW,LCH,US,-97.038002,32.896801,US,-93.22329711914062,30.126100540161133,#ffa500,DFW_LCH
AA,CLT,BWI,US,-80.94309997558594,35.2140007019043,US,-76.668297,39.1754,#ff0000,CLT_BWI
AA,DFW,ABQ,US,-97.038002,32.896801,US,-106.609001,35.040199,#ffa500,DFW_ABQ
AA,PHX,LBB,US,-112.01200103759766,33.43429946899414,US,-101.822998,33.663601,#426ae1,PHX_LBB
AA,CLT,MEM,US,-80.94309997558594,35.2140007019043,US,-89.97669982910156,35.04240036010742,#ff0000,CLT_MEM
AA,PHL,ABE,US,-75.24109649658203,39.87189865112305,US,-75.44080352783203,40.652099609375,#fd68b3,PHL_ABE
AA,PHL,SAN,US,-75.24109649658203,39.87189865112305,US,-117.190002441,32.7336006165,#fd68b3,PHL_SAN
AA,LAX,SEA,US,-118.407997,33.942501,US,-122.308998,47.449001,#00ffff,LAX_SEA
AA,ORD,HPN,US,-87.9048,41.9786,US,-73.70760345458984,41.06700134277344,#ffff00,ORD_HPN
AA,DCA,OKC,US,-77.037697,38.8521,US,-97.60070037841797,35.39310073852539,#6cff7d,DCA_OKC
AA,DCA,JFK,US,-77.037697,38.8521,US,-73.7789,40.639801,#6cff7d,DCA_JFK
AA,DFW,SPI,US,-97.038002,32.896801,US,-89.67790222,39.84410095,#ffa500,DFW_SPI
AA,DCA,ECP,US,-77.037697,38.8521,US,-85.795414,30.357106,#6cff7d,DCA_ECP
AA,CLT,HSV,US,-80.94309997558594,35.2140007019043,US,-86.775100708008,34.637199401855,#ff0000,CLT_HSV
AA,CLT,IND,US,-80.94309997558594,35.2140007019043,US,-86.294403,39.7173,#ff0000,CLT_IND
AA,DFW,PDX,US,-97.038002,32.896801,US,-122.5979996,45.58869934,#ffa500,DFW_PDX
AA,PHL,CAK,US,-75.24109649658203,39.87189865112305,US,-81.44219970703125,40.916099548339844,#fd68b3,PHL_CAK
AA,LGA,PIT,US,-73.872597,40.777199,US,-80.23290253,40.49150085,#426ae1,LGA_PIT
AA,ORD,AUS,US,-87.9048,41.9786,US,-97.6698989868164,30.194499969482422,#ffff00,ORD_AUS
AA,LAX,AUS,US,-118.407997,33.942501,US,-97.6698989868164,30.194499969482422,#00ffff,LAX_AUS
AA,PHL,JAX,US,-75.24109649658203,39.87189865112305,US,-81.68789672851562,30.49410057067871,#fd68b3,PHL_JAX
AA,CLT,GRR,US,-80.94309997558594,35.2140007019043,US,-85.52279663,42.88079834,#ff0000,CLT_GRR
AA,LAX,IND,US,-118.407997,33.942501,US,-86.294403,39.7173,#00ffff,LAX_IND
AA,DCA,DTW,US,-77.037697,38.8521,US,-83.35340118408203,42.212398529052734,#6cff7d,DCA_DTW
AA,DCA,PHL,US,-77.037697,38.8521,US,-75.24109649658203,39.87189865112305,white,DCA_PHL
AA,ORD,STL,US,-87.9048,41.9786,US,-90.370003,38.748697,#ffff00,ORD_STL
AA,PHX,OAK,US,-112.01200103759766,33.43429946899414,US,-122.221001,37.721298,#426ae1,PHX_OAK
AA,PHL,CRW,US,-75.24109649658203,39.87189865112305,US,-81.59320068359375,38.37310028076172,#fd68b3,PHL_CRW
