airline,A,B,country_A,lon_A,lat_A,country_B,lon_B,lat_B,color,AB
AA,ORD,GRR,US,-87.9048,41.9786,US,-85.52279663,42.88079834,#ffff00,ORD_GRR
AA,CLT,SFO,US,-80.94309997558594,35.2140007019043,US,-122.375,37.61899948120117,#ff0000,CLT_SFO
AA,ORD,TPA,US,-87.9048,41.9786,US,-82.533203125,27.975500106811523,#ffff00,ORD_TPA
AA,ORD,DSM,US,-87.9048,41.9786,US,-93.66310119628906,41.534000396728516,#ffff00,ORD_DSM
AA,CLT,FAY,US,-80.94309997558594,35.2140007019043,US,-78.88030242919922,34.9911994934082,#ff0000,CLT_FAY
AA,ORD,CMH,US,-87.9048,41.9786,US,-82.891899,39.998001,#ffff00,ORD_CMH
AA,DFW,SWO,US,-97.038002,32.896801,US,-97.08570098877,36.161201477051,#ffa500,DFW_SWO
AA,DFW,HSV,US,-97.038002,32.896801,US,-86.775100708008,34.637199401855,#ffa500,DFW_HSV
AA,PHL,ART,US,-75.24109649658203,39.87189865112305,US,-76.02169799804688,43.99190139770508,#fd68b3,PHL_ART
AA,ORD,ROC,US,-87.9048,41.9786,US,-77.67240142822266,43.118900299072266,#ffff00,ORD_ROC
AA,CLT,HHH,US,-80.94309997558594,35.2140007019043,US,-80.6975021362,32.2243995667,#ff0000,CLT_HHH
AA,DFW,ONT,US,-97.038002,32.896801,US,-117.60099792480469,34.055999755859375,#ffa500,DFW_ONT
AA,MIA,GNV,US,-80.29060363769531,25.79319953918457,US,-82.2717971802,29.6900997162,#6cff7d,MIA_GNV
AA,ORD,SAN,US,-87.9048,41.9786,US,-117.190002441,32.7336006165,#ffff00,ORD_SAN
AA,DFW,TUS,US,-97.038002,32.896801,US,-110.938053,32.115004,#ffa500,DFW_TUS
AA,CLT,AVL,US,-80.94309997558594,35.2140007019043,US,-82.541801,35.436199,#ff0000,CLT_AVL
AA,DCA,DFW,US,-77.037697,38.8521,US,-97.038002,32.896801,white,DCA_DFW
AA,JFK,SFO,US,-73.7789,40.639801,US,-122.375,37.61899948120117,gray,JFK_SFO
AA,PHL,DSM,US,-75.24109649658203,39.87189865112305,US,-93.66310119628906,41.534000396728516,#fd68b3,PHL_DSM
AA,LAX,LAS,US,-118.407997,33.942501,US,-115.1520004,36.08010101,#00ffff,LAX_LAS
AA,PHL,PNS,US,-75.24109649658203,39.87189865112305,US,-87.1866,30.4734,#fd68b3,PHL_PNS
AA,LAX,FAT,US,-118.407997,33.942501,US,-119.718002,36.776199,#00ffff,LAX_FAT
AA,LAX,SAT,US,-118.407997,33.942501,US,-98.469803,29.533701,#00ffff,LAX_SAT
AA,PHX,SAT,US,-112.01200103759766,33.43429946899414,US,-98.469803,29.533701,#426ae1,PHX_SAT
AA,MIA,XNA,US,-80.29060363769531,25.79319953918457,US,-94.306801,36.281898,#6cff7d,MIA_XNA
AA,CLT,MKE,US,-80.94309997558594,35.2140007019043,US,-87.89659881591797,42.947200775146484,#ff0000,CLT_MKE
AA,DCA,LAS,US,-77.037697,38.8521,US,-115.1520004,36.08010101,#6cff7d,DCA_LAS
AA,ORD,BWI,US,-87.9048,41.9786,US,-76.668297,39.1754,#ffff00,ORD_BWI
AA,CLT,HPN,US,-80.94309997558594,35.2140007019043,US,-73.70760345458984,41.06700134277344,#ff0000,CLT_HPN
AA,MIA,PNS,US,-80.29060363769531,25.79319953918457,US,-87.1866,30.4734,#6cff7d,MIA_PNS
AA,CLT,PHX,US,-80.94309997558594,35.2140007019043,US,-112.01200103759766,33.43429946899414,white,CLT_PHX
AA,JFK,PHX,US,-73.7789,40.639801,US,-112.01200103759766,33.43429946899414,#426ae1,JFK_PHX
AA,LAX,CMH,US,-118.407997,33.942501,US,-82.891899,39.998001,#00ffff,LAX_CMH
AA,DFW,DSM,US,-97.038002,32.896801,US,-93.66310119628906,41.534000396728516,#ffa500,DFW_DSM
AA,LGA,MIA,US,-73.872597,40.777199,US,-80.29060363769531,25.79319953918457,white,LGA_MIA
AA,DFW,PIB,US,-97.038002,32.896801,US,-89.33709716796875,31.467100143432617,#ffa500,DFW_PIB
AA,MIA,RIC,US,-80.29060363769531,25.79319953918457,US,-77.3197021484375,37.50519943237305,#6cff7d,MIA_RIC
AA,ORD,PHL,US,-87.9048,41.9786,US,-75.24109649658203,39.87189865112305,white,ORD_PHL
AA,DFW,MTJ,US,-97.038002,32.896801,US,-107.893997192,38.509799957300004,#ffa500,DFW_MTJ
AA,CLT,CAK,US,-80.94309997558594,35.2140007019043,US,-81.44219970703125,40.916099548339844,#ff0000,CLT_CAK
AA,ORD,MSP,US,-87.9048,41.9786,US,-93.221802,44.882,#ffff00,ORD_MSP
AA,ORD,RSW,US,-87.9048,41.9786,US,-81.75520324707031,26.53619956970215,#ffff00,ORD_RSW
AA,LGA,ILM,US,-73.872597,40.777199,US,-77.90260314941406,34.270599365234375,#426ae1,LGA_ILM
AA,PHL,CAE,US,-75.24109649658203,39.87189865112305,US,-81.11949920654297,33.93880081176758,#fd68b3,PHL_CAE
AA,DCA,PBI,US,-77.037697,38.8521,US,-80.09559631347656,26.68320083618164,#6cff7d,DCA_PBI
AA,PHX,MTJ,US,-112.01200103759766,33.43429946899414,US,-107.893997192,38.509799957300004,#426ae1,PHX_MTJ
AA,CLT,IND,US,-80.94309997558594,35.2140007019043,US,-86.294403,39.7173,#ff0000,CLT_IND
AA,PHL,RIC,US,-75.24109649658203,39.87189865112305,US,-77.3197021484375,37.50519943237305,#fd68b3,PHL_RIC
AA,PHL,AVP,US,-75.24109649658203,39.87189865112305,US,-75.72339630130001,41.338500976599995,#fd68b3,PHL_AVP
AA,PHX,OMA,US,-112.01200103759766,33.43429946899414,US,-95.894096,41.3032,#426ae1,PHX_OMA
AA,PHX,RDM,US,-112.01200103759766,33.43429946899414,US,-121.1500015,44.2541008,#426ae1,PHX_RDM
AA,DFW,BIS,US,-97.038002,32.896801,US,-100.74600219726562,46.772701263427734,#ffa500,DFW_BIS
AA,PHX,MKE,US,-112.01200103759766,33.43429946899414,US,-87.89659881591797,42.947200775146484,#426ae1,PHX_MKE
AA,PHX,ELP,US,-112.01200103759766,33.43429946899414,US,-106.3779984,31.80719948,#426ae1,PHX_ELP
AA,DFW,RSW,US,-97.038002,32.896801,US,-81.75520324707031,26.53619956970215,#ffa500,DFW_RSW
AA,LAX,PHL,US,-118.407997,33.942501,US,-75.24109649658203,39.87189865112305,white,LAX_PHL
AA,MIA,BWI,US,-80.29060363769531,25.79319953918457,US,-76.668297,39.1754,#6cff7d,MIA_BWI
AA,LGA,DAY,US,-73.872597,40.777199,US,-84.21939849853516,39.902400970458984,#426ae1,LGA_DAY
AA,PHL,MCI,US,-75.24109649658203,39.87189865112305,US,-94.713898,39.2976,#fd68b3,PHL_MCI
AA,ORD,MLI,US,-87.9048,41.9786,US,-90.50749969482422,41.44850158691406,#ffff00,ORD_MLI
AA,DFW,CHS,US,-97.038002,32.896801,US,-80.04049683,32.89860153,#ffa500,DFW_CHS
AA,DFW,YUM,US,-97.038002,32.896801,US,-114.6060028,32.65660095,#ffa500,DFW_YUM
AA,ORD,OMA,US,-87.9048,41.9786,US,-95.894096,41.3032,#ffff00,ORD_OMA
AA,DFW,MGM,US,-97.038002,32.896801,US,-86.39399719,32.30059814,#ffa500,DFW_MGM
