airline,A,B,lat_A,lon_A,country_A,lat_B,lon_B,country_B,color,AB
AA,ORD,SUX,41.9786,-87.9048,US,42.4026,-96.3844,US,#00ffff,ORD_SUX
AA,ORD,RSW,41.9786,-87.9048,US,26.5362,-81.7552,US,#00ffff,ORD_RSW
DL,LGA,CHA,40.7773,-73.8727,US,35.0353,-85.2038,US,#ff0000,LGA_CHA
AA,MIA,TYS,25.7933,-80.2906,US,35.8109,-83.994,US,#00ffff,MIA_TYS
DL,ATL,EWR,33.6367,-84.4281,US,40.6925,-74.1687,US,#ff0000,ATL_EWR
UA,ORD,PAH,41.9786,-87.9048,US,37.0603,-88.773,US,#426ae1,ORD_PAH
DL,JFK,DEN,40.6397,-73.7789,US,39.8617,-104.6732,US,#ff0000,JFK_DEN
UA,CLE,EWR,41.4117,-81.8498,US,40.6925,-74.1687,US,#426ae1,CLE_EWR
AA,PHL,SBY,39.8719,-75.2411,US,38.34,-75.51,US,#00ffff,PHL_SBY
UA,ORD,ALB,41.9786,-87.9048,US,42.7483,-73.8017,US,#426ae1,ORD_ALB
UA,SFO,BUR,37.6189,-122.3749,US,34.2006,-118.3587,US,#426ae1,SFO_BUR
DL,ATL,TUL,33.6367,-84.4281,US,36.1984,-95.8881,US,#ff0000,ATL_TUL
DL,SLC,MCI,40.7884,-111.9778,US,39.2976,-94.7139,US,#ff0000,SLC_MCI
DL,LGA,PWM,40.7773,-73.8727,US,43.6462,-70.3093,US,#ff0000,LGA_PWM
DL,ATL,MSN,33.6367,-84.4281,US,43.1399,-89.3375,US,#ff0000,ATL_MSN
UA,SFO,OKC,37.6189,-122.3749,US,35.3931,-97.6007,US,#426ae1,SFO_OKC
UA,ORD,JAX,41.9786,-87.9048,US,30.4941,-81.6879,US,#426ae1,ORD_JAX
AA,PHX,IAH,33.4342,-112.0115,US,29.9844,-95.3414,US,#00ffff,PHX_IAH
DL,MSP,CID,44.882,-93.2218,US,41.8847,-91.7108,US,#ff0000,MSP_CID
AA,DEN,PHX,39.8617,-104.6732,US,33.4342,-112.0115,US,#00ffff,DEN_PHX
AA,DFW,EWR,32.8968,-97.038,US,40.6925,-74.1687,US,#00ffff,DFW_EWR
UA,DEN,CVG,39.8617,-104.6732,US,39.0488,-84.6678,US,#426ae1,DEN_CVG
DL,SLC,IND,40.7884,-111.9778,US,39.7173,-86.2944,US,#ff0000,SLC_IND
AA,ORD,MSN,41.9786,-87.9048,US,43.1399,-89.3375,US,#00ffff,ORD_MSN
DL,BOS,SEA,42.3643,-71.0052,US,47.449,-122.3093,US,#ff0000,BOS_SEA
AA,ORD,COU,41.9786,-87.9048,US,38.8183,-92.22,US,#00ffff,ORD_COU
DL,CVG,RSW,39.0488,-84.6678,US,26.5362,-81.7552,US,#ff0000,CVG_RSW
UA,IAH,LIT,29.9844,-95.3414,US,34.7294,-92.2242,US,#426ae1,IAH_LIT
UA,DEN,FAT,39.8617,-104.6732,US,36.7762,-119.7181,US,#426ae1,DEN_FAT
AA,LGA,CAE,40.7773,-73.8727,US,33.9387,-81.1195,US,#00ffff,LGA_CAE
UA,DEN,HYS,39.8617,-104.6732,US,38.8422,-99.2732,US,#426ae1,DEN_HYS
DL,BOS,IND,42.3643,-71.0052,US,39.7173,-86.2944,US,#ff0000,BOS_IND
DL,MSP,GEG,44.882,-93.2218,US,47.6198,-117.5337,US,#ff0000,MSP_GEG
UA,HNL,DEN,21.3187,-157.9224,US,39.8617,-104.6732,US,#426ae1,HNL_DEN
AA,LGA,MSP,40.7773,-73.8727,US,44.882,-93.2218,US,#00ffff,LGA_MSP
AA,DFW,SWO,32.8968,-97.038,US,36.094,-97.0508,US,#00ffff,DFW_SWO
AA,PHX,STS,33.4342,-112.0115,US,38.509,-122.8129,US,#00ffff,PHX_STS
DL,ATL,TUS,33.6367,-84.4281,US,32.1161,-110.941,US,#ff0000,ATL_TUS
AA,DFW,SPI,32.8968,-97.038,US,39.844,-89.6778,US,#00ffff,DFW_SPI
UA,SFO,IND,37.6189,-122.3749,US,39.7173,-86.2944,US,#426ae1,SFO_IND
AA,PHL,CHA,39.8719,-75.2411,US,35.0353,-85.2038,US,#00ffff,PHL_CHA
UA,DEN,BZN,39.8617,-104.6732,US,45.7775,-111.153,US,#426ae1,DEN_BZN
AA,PHL,SYR,39.8719,-75.2411,US,43.1112,-76.1063,US,#00ffff,PHL_SYR
DL,DTW,LAS,42.2124,-83.3534,US,36.0804,-115.1523,US,#ff0000,DTW_LAS
UA,IAH,CMH,29.9844,-95.3414,US,39.998,-82.8919,US,#426ae1,IAH_CMH
DL,ATL,AUS,33.6367,-84.4281,US,30.195,-97.67,US,#ff0000,ATL_AUS
DL,MSP,SAT,44.882,-93.2218,US,29.5337,-98.4698,US,#ff0000,MSP_SAT
UA,EWR,SRQ,40.6925,-74.1687,US,27.3954,-82.5543,US,#426ae1,EWR_SRQ
AA,PHX,AUS,33.4342,-112.0115,US,30.195,-97.67,US,#00ffff,PHX_AUS
