airline,A,B,lat_A,lon_A,country_A,lat_B,lon_B,country_B,color,AB
AA,PHL,ROC,39.8719,-75.2411,US,43.1189,-77.6724,US,#fd68b3,PHL_ROC
AA,DFW,MSO,32.8968,-97.038,US,46.9163,-114.0906,US,#ffa500,DFW_MSO
AA,PHX,ELP,33.4342,-112.0115,US,31.8067,-106.3778,US,#426ae1,PHX_ELP
AA,DFW,PDX,32.8968,-97.038,US,45.5887,-122.5975,US,#ffa500,DFW_PDX
AA,DFW,PIA,32.8968,-97.038,US,40.6642,-89.6933,US,#ffa500,DFW_PIA
AA,DFW,LRD,32.8968,-97.038,US,27.5437,-99.4615,US,#ffa500,DFW_LRD
AA,LAX,XNA,33.9425,-118.4081,US,36.2819,-94.3068,US,#00ffff,LAX_XNA
AA,MIA,PHL,25.7933,-80.2906,US,39.8719,-75.2411,US,white,MIA_PHL
AA,DCA,ORD,38.8521,-77.0377,US,41.9786,-87.9048,US,white,DCA_ORD
AA,DFW,MLU,32.8968,-97.038,US,32.5117,-92.0383,US,#ffa500,DFW_MLU
AA,DFW,LAS,32.8968,-97.038,US,36.0804,-115.1523,US,#ffa500,DFW_LAS
AA,LGA,IND,40.7773,-73.8727,US,39.7173,-86.2944,US,#426ae1,LGA_IND
AA,DCA,TPA,38.8521,-77.0377,US,27.9755,-82.5332,US,#6cff7d,DCA_TPA
AA,PHX,IND,33.4342,-112.0115,US,39.7173,-86.2944,US,#426ae1,PHX_IND
AA,CLT,SFO,35.214,-80.9431,US,37.6189,-122.3749,US,#ff0000,CLT_SFO
AA,CLT,XNA,35.214,-80.9431,US,36.2819,-94.3068,US,#ff0000,CLT_XNA
AA,MIA,SAT,25.7933,-80.2906,US,29.5337,-98.4698,US,#6cff7d,MIA_SAT
AA,LGA,RIC,40.7773,-73.8727,US,37.5052,-77.3197,US,#426ae1,LGA_RIC
AA,DCA,JAX,38.8521,-77.0377,US,30.4941,-81.6879,US,#6cff7d,DCA_JAX
AA,ORD,DTW,41.9786,-87.9048,US,42.2124,-83.3534,US,#ffff00,ORD_DTW
AA,PHL,DAY,39.8719,-75.2411,US,39.9024,-84.2194,US,#fd68b3,PHL_DAY
AA,PHX,PDX,33.4342,-112.0115,US,45.5887,-122.5975,US,#426ae1,PHX_PDX
AA,DFW,GGG,32.8968,-97.038,US,32.384,-94.7115,US,#ffa500,DFW_GGG
AA,DCA,AGS,38.8521,-77.0377,US,33.3367,-81.9645,US,#6cff7d,DCA_AGS
AA,MIA,SEA,25.7933,-80.2906,US,47.449,-122.3093,US,#6cff7d,MIA_SEA
AA,JFK,SFO,40.6397,-73.7789,US,37.6189,-122.3749,US,gray,JFK_SFO
AA,DCA,MCI,38.8521,-77.0377,US,39.2976,-94.7139,US,#6cff7d,DCA_MCI
AA,DFW,JLN,32.8968,-97.038,US,37.1519,-94.4983,US,#ffa500,DFW_JLN
AA,PHL,CVG,39.8719,-75.2411,US,39.0488,-84.6678,US,#fd68b3,PHL_CVG
AA,CLT,LAS,35.214,-80.9431,US,36.0804,-115.1523,US,#ff0000,CLT_LAS
AA,PHL,RIC,39.8719,-75.2411,US,37.5052,-77.3197,US,#fd68b3,PHL_RIC
AA,CLT,CID,35.214,-80.9431,US,41.8847,-91.7108,US,#ff0000,CLT_CID
AA,LAX,ORD,33.9425,-118.4081,US,41.9786,-87.9048,US,white,LAX_ORD
AA,PHL,TYS,39.8719,-75.2411,US,35.8109,-83.994,US,#fd68b3,PHL_TYS
AA,MIA,MCO,25.7933,-80.2906,US,28.4294,-81.309,US,#6cff7d,MIA_MCO
AA,PHX,SFO,33.4342,-112.0115,US,37.6189,-122.3749,US,#426ae1,PHX_SFO
AA,CLT,CVG,35.214,-80.9431,US,39.0488,-84.6678,US,#ff0000,CLT_CVG
AA,LGA,MIA,40.7773,-73.8727,US,25.7933,-80.2906,US,white,LGA_MIA
AA,DFW,FLG,32.8968,-97.038,US,35.1386,-111.6711,US,#ffa500,DFW_FLG
AA,CLT,SAV,35.214,-80.9431,US,32.1277,-81.2021,US,#ff0000,CLT_SAV
AA,DFW,AMA,32.8968,-97.038,US,35.2194,-101.7059,US,#ffa500,DFW_AMA
AA,DCA,CLE,38.8521,-77.0377,US,41.4117,-81.8498,US,#6cff7d,DCA_CLE
AA,MIA,GNV,25.7933,-80.2906,US,29.69,-82.2719,US,#6cff7d,MIA_GNV
AA,CLT,FLL,35.214,-80.9431,US,26.0727,-80.1527,US,#ff0000,CLT_FLL
AA,PHX,ATL,33.4342,-112.0115,US,33.6367,-84.4281,US,#426ae1,PHX_ATL
AA,PHL,XNA,39.8719,-75.2411,US,36.2819,-94.3068,US,#fd68b3,PHL_XNA
AA,DFW,ABI,32.8968,-97.038,US,32.4113,-99.6819,US,#ffa500,DFW_ABI
AA,LAX,MIA,33.9425,-118.4081,US,25.7933,-80.2906,US,white,LAX_MIA
AA,DFW,SAV,32.8968,-97.038,US,32.1277,-81.2021,US,#ffa500,DFW_SAV
AA,DCA,CAK,38.8521,-77.0377,US,40.916,-81.4421,US,#6cff7d,DCA_CAK
AA,DFW,CHA,32.8968,-97.038,US,35.0353,-85.2038,US,#ffa500,DFW_CHA
AA,CLT,DEN,35.214,-80.9431,US,39.8617,-104.6732,US,#ff0000,CLT_DEN
AA,DCA,PVD,38.8521,-77.0377,US,41.724,-71.4282,US,#6cff7d,DCA_PVD
AA,PHL,PNS,39.8719,-75.2411,US,30.4734,-87.1864,US,#fd68b3,PHL_PNS
AA,ORD,BHM,41.9786,-87.9048,US,33.5629,-86.7535,US,#ffff00,ORD_BHM
AA,PHL,OMA,39.8719,-75.2411,US,41.3032,-95.8941,US,#fd68b3,PHL_OMA
AA,LAX,CMH,33.9425,-118.4081,US,39.998,-82.8919,US,#00ffff,LAX_CMH
AA,CLT,BHM,35.214,-80.9431,US,33.5629,-86.7535,US,#ff0000,CLT_BHM
AA,PHL,ILM,39.8719,-75.2411,US,34.2706,-77.9025,US,#fd68b3,PHL_ILM
AA,DFW,MFE,32.8968,-97.038,US,26.1758,-98.2386,US,#ffa500,DFW_MFE
AA,LAX,SMF,33.9425,-118.4081,US,38.6954,-121.5908,US,#00ffff,LAX_SMF
AA,CLT,SRQ,35.214,-80.9431,US,27.3954,-82.5543,US,#ff0000,CLT_SRQ
AA,DFW,LIT,32.8968,-97.038,US,34.7294,-92.2242,US,#ffa500,DFW_LIT
AA,CLT,CHS,35.214,-80.9431,US,32.8986,-80.0405,US,#ff0000,CLT_CHS
AA,CLT,MOB,35.214,-80.9431,US,30.6912,-88.2428,US,#ff0000,CLT_MOB
AA,JFK,RDU,40.6397,-73.7789,US,35.8777,-78.7875,US,gray,JFK_RDU
AA,DFW,RAP,32.8968,-97.038,US,44.0453,-103.0575,US,#ffa500,DFW_RAP
AA,PHL,MLB,39.8719,-75.2411,US,28.1027,-80.6295,US,#fd68b3,PHL_MLB
AA,DEN,PHX,39.8617,-104.6732,US,33.4342,-112.0115,US,#426ae1,DEN_PHX
AA,MIA,XNA,25.7933,-80.2906,US,36.2819,-94.3068,US,#6cff7d,MIA_XNA
AA,DFW,EVV,32.8968,-97.038,US,38.037,-87.5324,US,#ffa500,DFW_EVV
AA,DCA,ILM,38.8521,-77.0377,US,34.2706,-77.9025,US,#6cff7d,DCA_ILM
AA,CLT,HVN,35.214,-80.9431,US,41.2638,-72.8868,US,#ff0000,CLT_HVN
AA,DCA,PWM,38.8521,-77.0377,US,43.6462,-70.3093,US,#6cff7d,DCA_PWM
AA,DFW,TYR,32.8968,-97.038,US,32.3541,-95.4024,US,#ffa500,DFW_TYR
AA,PHX,ONT,33.4342,-112.0115,US,34.056,-117.6012,US,#426ae1,PHX_ONT
AA,PHL,SCE,39.8719,-75.2411,US,40.8493,-77.8487,US,#fd68b3,PHL_SCE
AA,LAX,BNA,33.9425,-118.4081,US,36.1245,-86.6782,US,#00ffff,LAX_BNA
AA,LAX,MSY,33.9425,-118.4081,US,29.9934,-90.258,US,#00ffff,LAX_MSY
AA,ORD,PIT,41.9786,-87.9048,US,40.4915,-80.2329,US,#ffff00,ORD_PIT
AA,DCA,RSW,38.8521,-77.0377,US,26.5362,-81.7552,US,#6cff7d,DCA_RSW
AA,DFW,RSW,32.8968,-97.038,US,26.5362,-81.7552,US,#ffa500,DFW_RSW
AA,PHX,OGG,33.4342,-112.0115,US,20.8987,-156.4305,US,#426ae1,PHX_OGG
AA,DCA,CMH,38.8521,-77.0377,US,39.998,-82.8919,US,#6cff7d,DCA_CMH
AA,LAX,TUS,33.9425,-118.4081,US,32.1161,-110.941,US,#00ffff,LAX_TUS
AA,DFW,BUR,32.8968,-97.038,US,34.2006,-118.3587,US,#ffa500,DFW_BUR
AA,DFW,PNS,32.8968,-97.038,US,30.4734,-87.1864,US,#ffa500,DFW_PNS
AA,CLT,ILM,35.214,-80.9431,US,34.2706,-77.9025,US,#ff0000,CLT_ILM
AA,LAX,ATL,33.9425,-118.4081,US,33.6367,-84.4281,US,#00ffff,LAX_ATL
AA,DFW,FSD,32.8968,-97.038,US,43.582,-96.7419,US,#ffa500,DFW_FSD
AA,CLT,EVV,35.214,-80.9431,US,38.037,-87.5324,US,#ff0000,CLT_EVV
AA,DCA,PHL,38.8521,-77.0377,US,39.8719,-75.2411,US,white,DCA_PHL
AA,PHX,FAT,33.4342,-112.0115,US,36.7762,-119.7181,US,#426ae1,PHX_FAT
AA,CLT,BTR,35.214,-80.9431,US,30.5331,-91.1496,US,#ff0000,CLT_BTR
AA,DCA,JFK,38.8521,-77.0377,US,40.6397,-73.7789,US,#6cff7d,DCA_JFK
AA,DCA,BUF,38.8521,-77.0377,US,42.9405,-78.7322,US,#6cff7d,DCA_BUF
AA,MIA,ORF,25.7933,-80.2906,US,36.8946,-76.2012,US,#6cff7d,MIA_ORF
AA,CLT,TYS,35.214,-80.9431,US,35.8109,-83.994,US,#ff0000,CLT_TYS
AA,PHL,OKC,39.8719,-75.2411,US,35.3931,-97.6007,US,#fd68b3,PHL_OKC
AA,DFW,BIS,32.8968,-97.038,US,46.774,-100.7467,US,#ffa500,DFW_BIS
AA,PHX,SJC,33.4342,-112.0115,US,37.3627,-121.9291,US,#426ae1,PHX_SJC
AA,PHL,ART,39.8719,-75.2411,US,43.9919,-76.0217,US,#fd68b3,PHL_ART
AA,DFW,JFK,32.8968,-97.038,US,40.6397,-73.7789,US,#ffa500,DFW_JFK
AA,LAX,IAH,33.9425,-118.4081,US,29.9844,-95.3414,US,#00ffff,LAX_IAH
AA,CLT,MCI,35.214,-80.9431,US,39.2976,-94.7139,US,#ff0000,CLT_MCI
AA,PHL,SAV,39.8719,-75.2411,US,32.1277,-81.2021,US,#fd68b3,PHL_SAV
AA,PHX,RDU,33.4342,-112.0115,US,35.8777,-78.7875,US,#426ae1,PHX_RDU
AA,MIA,LAS,25.7933,-80.2906,US,36.0804,-115.1523,US,#6cff7d,MIA_LAS
