airline,A,B,lat_A,lon_A,country_A,lat_B,lon_B,country_B,color,AB
DL,ATL,GSO,33.6367,-84.4281,US,36.0977,-79.9373,US,#ff0000,ATL_GSO
DL,SEA,OGG,47.449,-122.3093,US,20.8987,-156.4305,US,#426ae1,SEA_OGG
DL,SLC,BUR,40.7884,-111.9778,US,34.2006,-118.3587,US,#6cff7d,SLC_BUR
DL,SLC,CPR,40.7884,-111.9778,US,42.9079,-106.4643,US,#6cff7d,SLC_CPR
DL,MSP,ATW,44.882,-93.2218,US,44.2581,-88.5191,US,#fd68b3,MSP_ATW
DL,MSP,ORF,44.882,-93.2218,US,36.8946,-76.2012,US,#fd68b3,MSP_ORF
DL,LAX,DFW,33.9425,-118.4081,US,32.8968,-97.038,US,#007f00,LAX_DFW
DL,ATL,AVP,33.6367,-84.4281,US,41.3384,-75.7234,US,#ff0000,ATL_AVP
DL,SEA,PSC,47.449,-122.3093,US,46.2646,-119.119,US,#426ae1,SEA_PSC
DL,MSP,FSD,44.882,-93.2218,US,43.582,-96.7419,US,#fd68b3,MSP_FSD
DL,MSP,LAN,44.882,-93.2218,US,42.7783,-84.5867,US,#fd68b3,MSP_LAN
DL,LAX,ABQ,33.9425,-118.4081,US,35.0402,-106.6092,US,#007f00,LAX_ABQ
DL,MSP,RIC,44.882,-93.2218,US,37.5052,-77.3197,US,#fd68b3,MSP_RIC
DL,LGA,ORD,40.7773,-73.8727,US,41.9786,-87.9048,US,#ffddad,LGA_ORD
DL,SEA,SNA,47.449,-122.3093,US,33.6756,-117.8682,US,#426ae1,SEA_SNA
DL,LAX,KOA,33.9425,-118.4081,US,19.7389,-156.0457,US,#007f00,LAX_KOA
DL,JFK,IND,40.6397,-73.7789,US,39.7173,-86.2944,US,#00ffff,JFK_IND
DL,ATL,FAY,33.6367,-84.4281,US,34.9911,-78.8803,US,#ff0000,ATL_FAY
DL,ATL,ORD,33.6367,-84.4281,US,41.9786,-87.9048,US,#ff0000,ATL_ORD
DL,JFK,IAD,40.6397,-73.7789,US,38.9445,-77.4558,US,#00ffff,JFK_IAD
DL,CVG,TPA,39.0488,-84.6678,US,27.9755,-82.5332,US,gray,CVG_TPA
DL,RDU,AUS,35.8777,-78.7875,US,30.195,-97.67,US,gray,RDU_AUS
DL,MSP,BIL,44.882,-93.2218,US,45.8077,-108.5429,US,#fd68b3,MSP_BIL
DL,ATL,AEX,33.6367,-84.4281,US,31.3274,-92.5486,US,#ff0000,ATL_AEX
DL,JFK,JAX,40.6397,-73.7789,US,30.4941,-81.6879,US,#00ffff,JFK_JAX
DL,CVG,RSW,39.0488,-84.6678,US,26.5362,-81.7552,US,gray,CVG_RSW
DL,MSP,CWA,44.882,-93.2218,US,44.7776,-89.6668,US,#fd68b3,MSP_CWA
DL,ATL,PVD,33.6367,-84.4281,US,41.724,-71.4282,US,#ff0000,ATL_PVD
DL,MSP,SFO,44.882,-93.2218,US,37.6189,-122.3749,US,#fd68b3,MSP_SFO
DL,MSP,BZN,44.882,-93.2218,US,45.7775,-111.153,US,#fd68b3,MSP_BZN
DL,CVG,FLL,39.0488,-84.6678,US,26.0727,-80.1527,US,gray,CVG_FLL
DL,ATL,EWR,33.6367,-84.4281,US,40.6925,-74.1687,US,#ff0000,ATL_EWR
DL,MSP,OMA,44.882,-93.2218,US,41.3032,-95.8941,US,#fd68b3,MSP_OMA
DL,SEA,FAI,47.449,-122.3093,US,64.8137,-147.8597,US,#426ae1,SEA_FAI
DL,SEA,AUS,47.449,-122.3093,US,30.195,-97.67,US,#426ae1,SEA_AUS
DL,ATL,TPA,33.6367,-84.4281,US,27.9755,-82.5332,US,#ff0000,ATL_TPA
DL,ATL,ABE,33.6367,-84.4281,US,40.6521,-75.4408,US,#ff0000,ATL_ABE
DL,LGA,FLL,40.7773,-73.8727,US,26.0727,-80.1527,US,#ffddad,LGA_FLL
DL,JFK,LAS,40.6397,-73.7789,US,36.0804,-115.1523,US,#00ffff,JFK_LAS
DL,MSP,AZO,44.882,-93.2218,US,42.2349,-85.5521,US,#fd68b3,MSP_AZO
DL,ATL,BTR,33.6367,-84.4281,US,30.5331,-91.1496,US,#ff0000,ATL_BTR
DL,ATL,ABQ,33.6367,-84.4281,US,35.0402,-106.6092,US,#ff0000,ATL_ABQ
DL,BOS,SFO,42.3643,-71.0052,US,37.6189,-122.3749,US,#ffff00,BOS_SFO
DL,MSP,IAH,44.882,-93.2218,US,29.9844,-95.3414,US,#fd68b3,MSP_IAH
DL,MSP,CMH,44.882,-93.2218,US,39.998,-82.8919,US,#fd68b3,MSP_CMH
DL,LGA,MIA,40.7773,-73.8727,US,25.7933,-80.2906,US,#ffddad,LGA_MIA
DL,ATL,FWA,33.6367,-84.4281,US,40.9785,-85.1951,US,#ff0000,ATL_FWA
DL,ATL,JAN,33.6367,-84.4281,US,32.3111,-90.0759,US,#ff0000,ATL_JAN
DL,LAX,DCA,33.9425,-118.4081,US,38.8521,-77.0377,US,#007f00,LAX_DCA
DL,ATL,SMF,33.6367,-84.4281,US,38.6954,-121.5908,US,#ff0000,ATL_SMF
DL,JFK,RDU,40.6397,-73.7789,US,35.8777,-78.7875,US,#00ffff,JFK_RDU
DL,SEA,BNA,47.449,-122.3093,US,36.1245,-86.6782,US,#426ae1,SEA_BNA
DL,ATL,MYR,33.6367,-84.4281,US,33.6797,-78.9283,US,#ff0000,ATL_MYR
DL,DTW,CIU,42.2124,-83.3534,US,46.2508,-84.4724,US,#ffa500,DTW_CIU
DL,BOS,PIT,42.3643,-71.0052,US,40.4915,-80.2329,US,#ffff00,BOS_PIT
DL,DTW,JAX,42.2124,-83.3534,US,30.4941,-81.6879,US,#ffa500,DTW_JAX
DL,DTW,ATW,42.2124,-83.3534,US,44.2581,-88.5191,US,#ffa500,DTW_ATW
DL,SLC,DFW,40.7884,-111.9778,US,32.8968,-97.038,US,#6cff7d,SLC_DFW
DL,SLC,MCO,40.7884,-111.9778,US,28.4294,-81.309,US,#6cff7d,SLC_MCO
DL,ATL,RDU,33.6367,-84.4281,US,35.8777,-78.7875,US,#ff0000,ATL_RDU
DL,LAX,OGG,33.9425,-118.4081,US,20.8987,-156.4305,US,#007f00,LAX_OGG
DL,DTW,ELM,42.2124,-83.3534,US,42.1599,-76.8916,US,#ffa500,DTW_ELM
DL,SEA,TPA,47.449,-122.3093,US,27.9755,-82.5332,US,#426ae1,SEA_TPA
DL,CVG,DCA,39.0488,-84.6678,US,38.8521,-77.0377,US,gray,CVG_DCA
DL,BOS,MSP,42.3643,-71.0052,US,44.882,-93.2218,US,white,BOS_MSP
DL,DTW,FWA,42.2124,-83.3534,US,40.9785,-85.1951,US,#ffa500,DTW_FWA
DL,DCA,LEX,38.8521,-77.0377,US,38.0365,-84.6059,US,gray,DCA_LEX
DL,DTW,ERI,42.2124,-83.3534,US,42.0819,-80.1761,US,#ffa500,DTW_ERI
DL,MSP,MSN,44.882,-93.2218,US,43.1399,-89.3375,US,#fd68b3,MSP_MSN
DL,ATL,GTR,33.6367,-84.4281,US,33.4503,-88.5914,US,#ff0000,ATL_GTR
DL,ATL,LEX,33.6367,-84.4281,US,38.0365,-84.6059,US,#ff0000,ATL_LEX
DL,ATL,DCA,33.6367,-84.4281,US,38.8521,-77.0377,US,#ff0000,ATL_DCA
DL,SLC,ABQ,40.7884,-111.9778,US,35.0402,-106.6092,US,#6cff7d,SLC_ABQ
DL,MSP,BOI,44.882,-93.2218,US,43.5644,-116.2228,US,#fd68b3,MSP_BOI
DL,LAX,MSP,33.9425,-118.4081,US,44.882,-93.2218,US,white,LAX_MSP
DL,LAX,SAT,33.9425,-118.4081,US,29.5337,-98.4698,US,#007f00,LAX_SAT
DL,ATL,SJC,33.6367,-84.4281,US,37.3627,-121.9291,US,#ff0000,ATL_SJC
DL,MSP,CIU,44.882,-93.2218,US,46.2508,-84.4724,US,#fd68b3,MSP_CIU
DL,ATL,GRR,33.6367,-84.4281,US,42.8808,-85.5228,US,#ff0000,ATL_GRR
DL,SLC,TWF,40.7884,-111.9778,US,42.4818,-114.4877,US,#6cff7d,SLC_TWF
DL,MSP,RAP,44.882,-93.2218,US,44.0453,-103.0575,US,#fd68b3,MSP_RAP
DL,DTW,DFW,42.2124,-83.3534,US,32.8968,-97.038,US,#ffa500,DTW_DFW
DL,MSP,HIB,44.882,-93.2218,US,47.3867,-92.8389,US,#fd68b3,MSP_HIB
DL,ATL,EVV,33.6367,-84.4281,US,38.037,-87.5324,US,#ff0000,ATL_EVV
DL,ATL,CRW,33.6367,-84.4281,US,38.3732,-81.5932,US,#ff0000,ATL_CRW
DL,LGA,BHM,40.7773,-73.8727,US,33.5629,-86.7535,US,#ffddad,LGA_BHM
DL,DTW,IAH,42.2124,-83.3534,US,29.9844,-95.3414,US,#ffa500,DTW_IAH
DL,LGA,ORF,40.7773,-73.8727,US,36.8946,-76.2012,US,#ffddad,LGA_ORF
DL,RDU,CMH,35.8777,-78.7875,US,39.998,-82.8919,US,gray,RDU_CMH
DL,MSP,ICT,44.882,-93.2218,US,37.6499,-97.4331,US,#fd68b3,MSP_ICT
DL,DCA,JFK,38.8521,-77.0377,US,40.6397,-73.7789,US,#00ffff,DCA_JFK
DL,LGA,MHT,40.7773,-73.8727,US,42.9326,-71.4357,US,#ffddad,LGA_MHT
DL,DTW,DSM,42.2124,-83.3534,US,41.5341,-93.6506,US,#ffa500,DTW_DSM
DL,LGA,RIC,40.7773,-73.8727,US,37.5052,-77.3197,US,#ffddad,LGA_RIC
DL,DTW,MQT,42.2124,-83.3534,US,46.3536,-87.3954,US,#ffa500,DTW_MQT
DL,ATL,SBN,33.6367,-84.4281,US,41.7086,-86.3172,US,#ff0000,ATL_SBN
