airline,A,B,lat_A,lon_A,country_A,lat_B,lon_B,country_B,color,AB
UA,EWR,TPA,40.6925,-74.1687,US,27.9755,-82.5332,US,#6cff7d,EWR_TPA
UA,LAX,PHX,33.9425,-118.4081,US,33.4342,-112.0115,US,#00ffff,LAX_PHX
UA,DEN,XWA,39.8617,-104.6732,US,48.1535,-103.4502,US,#ffff00,DEN_XWA
UA,EWR,OMA,40.6925,-74.1687,US,41.3032,-95.8941,US,#6cff7d,EWR_OMA
UA,CLE,IAH,41.4117,-81.8498,US,29.9844,-95.3414,US,#ffa500,CLE_IAH
UA,IAD,RSW,38.9445,-77.4558,US,26.5362,-81.7552,US,#fd68b3,IAD_RSW
UA,IAH,XNA,29.9844,-95.3414,US,36.2819,-94.3068,US,#ffa500,IAH_XNA
UA,DEN,SUN,39.8617,-104.6732,US,43.5044,-114.2962,US,#ffff00,DEN_SUN
UA,ORD,SCE,41.9786,-87.9048,US,40.8493,-77.8487,US,#ff0000,ORD_SCE
UA,LAX,EUG,33.9425,-118.4081,US,44.1245,-123.212,US,#00ffff,LAX_EUG
UA,LAX,ORD,33.9425,-118.4081,US,41.9786,-87.9048,US,white,LAX_ORD
UA,IAH,AUS,29.9844,-95.3414,US,30.195,-97.67,US,#ffa500,IAH_AUS
UA,ORD,ASE,41.9786,-87.9048,US,39.2232,-106.8688,US,#ff0000,ORD_ASE
UA,ORD,DEC,41.9786,-87.9048,US,39.8347,-88.8663,US,#ff0000,ORD_DEC
UA,DEN,LAR,39.8617,-104.6732,US,41.3119,-105.675,US,#ffff00,DEN_LAR
UA,DEN,LAS,39.8617,-104.6732,US,36.0804,-115.1523,US,#ffff00,DEN_LAS
UA,SFO,MMH,37.6189,-122.3749,US,37.624,-118.8378,US,#426ae1,SFO_MMH
UA,DEN,OGG,39.8617,-104.6732,US,20.8987,-156.4305,US,#ffff00,DEN_OGG
UA,DEN,MCO,39.8617,-104.6732,US,28.4294,-81.309,US,#ffff00,DEN_MCO
UA,LAX,ACV,33.9425,-118.4081,US,40.9781,-124.1086,US,#00ffff,LAX_ACV
